Arguments:
  JK: False
  cfg: configs/pubmed/virtual_gcn.yaml
  cluster_method: metis
  dataset: Pubmed
  device: 0
  dropout: 0.5
  epochs: 300
  experiment_name: None
  hidden_channels: 16
  log_steps: 1
  lr: 0.01
  mode: max
  model: gcn
  num_layers: 2
  num_parts: 2
  runs: 5
  sparse_ratio: 1.0
  use_bn: 0
  use_virtual: True
  wandb: False
  wd: 0.0005
loading cluster edges from: cluster_data/Pubmed_cluster_adj_2.pt
cluster edges: 4, total cluster edges:2
Model modules:
 VNGNN(
  (convs): ModuleList(
    (0): GCNConv(500, 16)
    (1): GCNConv(16, 3)
  )
  (bns): ModuleList(
    (0): BatchNorm1d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (vns): VirtualNode(
    (vn_emb): Embedding(2, 500)
    (mlp_vns): ModuleList(
      (0): Sequential(
        (0): Linear(in_features=500, out_features=16, bias=True)
        (1): LayerNorm((16,), eps=1e-05, elementwise_affine=True)
        (2): ReLU()
      )
    )
    (convs): ModuleList(
      (0): GCNConv(500, 500)
      (1): GCNConv(16, 16)
    )
    (bns): ModuleList()
  )
)
Parameters:
+------------------------+------------+
|        Modules         | Parameters |
+------------------------+------------+
|      convs.0.bias      |     16     |
|   convs.0.lin.weight   |    8000    |
|      convs.1.bias      |     3      |
|   convs.1.lin.weight   |     48     |
|      bns.0.weight      |     16     |
|       bns.0.bias       |     16     |
|   vns.vn_emb.weight    |    1000    |
| vns.mlp_vns.0.0.weight |    8000    |
|  vns.mlp_vns.0.0.bias  |     16     |
| vns.mlp_vns.0.1.weight |     16     |
|  vns.mlp_vns.0.1.bias  |     16     |
|    vns.convs.0.bias    |    500     |
| vns.convs.0.lin.weight |   250000   |
|    vns.convs.1.bias    |     16     |
| vns.convs.1.lin.weight |    256     |
+------------------------+------------+
Total Trainable Params: 267919

Start Training...
Run: 01, Epoch: 51, Train Loss: 0.8321, Valid Loss:  0.8503, Test Loss:  0.9003,  Train Acc: 65.00%, Valid Acc: 58.80%, Test Acc: 57.30%
Run: 01, Epoch: 52, Train Loss: 0.8263, Valid Loss:  0.8312, Test Loss:  0.8801,  Train Acc: 71.67%, Valid Acc: 67.00%, Test Acc: 65.30%
Run: 01, Epoch: 53, Train Loss: 0.8225, Valid Loss:  0.8141, Test Loss:  0.8613,  Train Acc: 71.67%, Valid Acc: 72.60%, Test Acc: 70.80%
Run: 01, Epoch: 54, Train Loss: 0.8219, Valid Loss:  0.8092, Test Loss:  0.8541,  Train Acc: 71.67%, Valid Acc: 72.60%, Test Acc: 69.30%
Run: 01, Epoch: 55, Train Loss: 0.8044, Valid Loss:  0.8280, Test Loss:  0.8692,  Train Acc: 73.33%, Valid Acc: 72.80%, Test Acc: 70.40%
Run: 01, Epoch: 56, Train Loss: 0.7982, Valid Loss:  0.8568, Test Loss:  0.8944,  Train Acc: 70.00%, Valid Acc: 68.00%, Test Acc: 66.10%
Run: 01, Epoch: 57, Train Loss: 0.8014, Valid Loss:  0.8826, Test Loss:  0.9148,  Train Acc: 73.33%, Valid Acc: 65.60%, Test Acc: 63.50%
Run: 01, Epoch: 58, Train Loss: 0.8063, Valid Loss:  0.9040, Test Loss:  0.9343,  Train Acc: 73.33%, Valid Acc: 62.40%, Test Acc: 61.40%
Run: 01, Epoch: 59, Train Loss: 0.7958, Valid Loss:  0.8764, Test Loss:  0.9075,  Train Acc: 80.00%, Valid Acc: 70.80%, Test Acc: 67.80%
Run: 01, Epoch: 60, Train Loss: 0.8062, Valid Loss:  0.8474, Test Loss:  0.8812,  Train Acc: 78.33%, Valid Acc: 74.20%, Test Acc: 71.00%
Run: 01, Epoch: 61, Train Loss: 0.8133, Valid Loss:  0.8359, Test Loss:  0.8730,  Train Acc: 78.33%, Valid Acc: 72.80%, Test Acc: 69.10%
Run: 01, Epoch: 62, Train Loss: 0.7785, Valid Loss:  0.8218, Test Loss:  0.8626,  Train Acc: 76.67%, Valid Acc: 74.40%, Test Acc: 71.50%
Run: 01, Epoch: 63, Train Loss: 0.7699, Valid Loss:  0.8562, Test Loss:  0.9006,  Train Acc: 70.00%, Valid Acc: 59.80%, Test Acc: 58.50%
Run: 01, Epoch: 64, Train Loss: 0.7836, Valid Loss:  0.8861, Test Loss:  0.9323,  Train Acc: 58.33%, Valid Acc: 52.20%, Test Acc: 49.80%
Run: 01, Epoch: 65, Train Loss: 0.7837, Valid Loss:  0.8881, Test Loss:  0.9339,  Train Acc: 58.33%, Valid Acc: 51.20%, Test Acc: 49.30%
Run: 01, Epoch: 66, Train Loss: 0.7518, Valid Loss:  0.8148, Test Loss:  0.8579,  Train Acc: 71.67%, Valid Acc: 68.80%, Test Acc: 66.30%
Run: 01, Epoch: 67, Train Loss: 0.7503, Valid Loss:  0.7821, Test Loss:  0.8235,  Train Acc: 71.67%, Valid Acc: 73.60%, Test Acc: 70.80%
Run: 01, Epoch: 68, Train Loss: 0.7499, Valid Loss:  0.7767, Test Loss:  0.8169,  Train Acc: 71.67%, Valid Acc: 72.20%, Test Acc: 69.80%
