Arguments:
  JK: False
  cfg: configs/pubmed/baseline_gcn_one_virtual.yaml
  cluster_method: metis
  dataset: Pubmed
  device: 0
  dropout: 0.5
  epochs: 300
  experiment_name: None
  hidden_channels: 16
  log_steps: 1
  lr: 0.01
  mode: max
  model: gcn
  num_layers: 2
  num_parts: 1
  runs: 5
  sparse_ratio: 1.0
  use_bn: 0
  use_virtual: True
  wandb: False
  wd: 0.0005
loading cluster edges from: cluster_data/Pubmed_cluster_adj_1.pt
cluster edges: 1, total cluster edges:0
Model modules:
 VNGNN(
  (convs): ModuleList(
    (0): GCNConv(500, 16)
    (1): GCNConv(16, 3)
  )
  (bns): ModuleList(
    (0): BatchNorm1d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (vns): VirtualNode(
    (vn_emb): Embedding(1, 500)
    (mlp_vns): ModuleList(
      (0): Sequential(
        (0): Linear(in_features=500, out_features=16, bias=True)
        (1): LayerNorm((16,), eps=1e-05, elementwise_affine=True)
        (2): ReLU()
      )
    )
    (convs): ModuleList(
      (0): GCNConv(500, 500)
      (1): GCNConv(16, 16)
    )
    (bns): ModuleList()
  )
)
Parameters:
+------------------------+------------+
|        Modules         | Parameters |
+------------------------+------------+
|      convs.0.bias      |     16     |
|   convs.0.lin.weight   |    8000    |
|      convs.1.bias      |     3      |
|   convs.1.lin.weight   |     48     |
|      bns.0.weight      |     16     |
|       bns.0.bias       |     16     |
|   vns.vn_emb.weight    |    500     |
| vns.mlp_vns.0.0.weight |    8000    |
|  vns.mlp_vns.0.0.bias  |     16     |
| vns.mlp_vns.0.1.weight |     16     |
|  vns.mlp_vns.0.1.bias  |     16     |
|    vns.convs.0.bias    |    500     |
| vns.convs.0.lin.weight |   250000   |
|    vns.convs.1.bias    |     16     |
| vns.convs.1.lin.weight |    256     |
+------------------------+------------+
Total Trainable Params: 267419

Start Training...
Run: 01, Epoch: 76, Train Loss: 0.8762, Valid Loss:  0.9822, Test Loss:  0.9835,  Train Acc: 91.67%, Valid Acc: 73.60%, Test Acc: 72.20%
Run: 01, Epoch: 77, Train Loss: 0.8701, Valid Loss:  0.9808, Test Loss:  0.9831,  Train Acc: 91.67%, Valid Acc: 73.20%, Test Acc: 74.60%
Run: 01, Epoch: 78, Train Loss: 0.8665, Valid Loss:  0.9669, Test Loss:  0.9693,  Train Acc: 90.00%, Valid Acc: 69.40%, Test Acc: 69.90%
Run: 01, Epoch: 79, Train Loss: 0.8583, Valid Loss:  0.9543, Test Loss:  0.9549,  Train Acc: 93.33%, Valid Acc: 78.40%, Test Acc: 77.60%
Run: 01, Epoch: 80, Train Loss: 0.8557, Valid Loss:  0.9386, Test Loss:  0.9365,  Train Acc: 90.00%, Valid Acc: 73.80%, Test Acc: 75.70%
Run: 01, Epoch: 81, Train Loss: 0.8642, Valid Loss:  0.9328, Test Loss:  0.9268,  Train Acc: 78.33%, Valid Acc: 62.20%, Test Acc: 63.10%
Run: 01, Epoch: 82, Train Loss: 0.8639, Valid Loss:  0.9300, Test Loss:  0.9233,  Train Acc: 70.00%, Valid Acc: 59.60%, Test Acc: 61.20%
Run: 01, Epoch: 83, Train Loss: 0.8333, Valid Loss:  0.9346, Test Loss:  0.9334,  Train Acc: 93.33%, Valid Acc: 73.00%, Test Acc: 74.90%
Run: 01, Epoch: 84, Train Loss: 0.8289, Valid Loss:  0.9462, Test Loss:  0.9496,  Train Acc: 91.67%, Valid Acc: 67.60%, Test Acc: 68.90%
Run: 01, Epoch: 85, Train Loss: 0.8360, Valid Loss:  0.9785, Test Loss:  0.9855,  Train Acc: 80.00%, Valid Acc: 61.80%, Test Acc: 59.20%
Run: 01, Epoch: 86, Train Loss: 0.8705, Valid Loss:  1.0387, Test Loss:  1.0516,  Train Acc: 61.67%, Valid Acc: 36.80%, Test Acc: 36.00%
Run: 01, Epoch: 87, Train Loss: 0.8211, Valid Loss:  0.9687, Test Loss:  0.9765,  Train Acc: 81.67%, Valid Acc: 59.00%, Test Acc: 56.20%
Run: 01, Epoch: 88, Train Loss: 0.8097, Valid Loss:  0.8992, Test Loss:  0.8962,  Train Acc: 91.67%, Valid Acc: 76.20%, Test Acc: 76.10%
Run: 01, Epoch: 89, Train Loss: 0.8397, Valid Loss:  0.9121, Test Loss:  0.9038,  Train Acc: 65.00%, Valid Acc: 56.40%, Test Acc: 58.60%
Run: 01, Epoch: 90, Train Loss: 0.8008, Valid Loss:  0.9184, Test Loss:  0.9152,  Train Acc: 83.33%, Valid Acc: 69.00%, Test Acc: 67.70%
Run: 01, Epoch: 91, Train Loss: 0.7794, Valid Loss:  0.9287, Test Loss:  0.9328,  Train Acc: 93.33%, Valid Acc: 75.60%, Test Acc: 75.10%
Run: 01, Epoch: 92, Train Loss: 0.8097, Valid Loss:  0.9658, Test Loss:  0.9768,  Train Acc: 71.67%, Valid Acc: 56.00%, Test Acc: 52.90%
Run: 01, Epoch: 93, Train Loss: 0.7923, Valid Loss:  0.9347, Test Loss:  0.9426,  Train Acc: 71.67%, Valid Acc: 55.40%, Test Acc: 53.80%
Run: 01, Epoch: 94, Train Loss: 0.7665, Valid Loss:  0.8782, Test Loss:  0.8759,  Train Acc: 93.33%, Valid Acc: 76.20%, Test Acc: 76.70%
Run: 01, Epoch: 95, Train Loss: 0.7870, Valid Loss:  0.8984, Test Loss:  0.8923,  Train Acc: 71.67%, Valid Acc: 62.80%, Test Acc: 63.50%
Run: 01, Epoch: 96, Train Loss: 0.7751, Valid Loss:  0.9119, Test Loss:  0.9083,  Train Acc: 80.00%, Valid Acc: 66.60%, Test Acc: 65.60%
