Arguments:
  JK: False
  cfg: configs/pubmed/baseline_gcn.yaml
  cluster_method: metis
  dataset: Pubmed
  device: 0
  dropout: 0.5
  epochs: 300
  experiment_name: None
  hidden_channels: 16
  log_steps: 1
  lr: 0.01
  mode: max
  model: gcn
  num_layers: 2
  num_parts: 128
  runs: 5
  sparse_ratio: 1.0
  use_bn: 0
  use_virtual: False
  wandb: False
  wd: 0.0005
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.x
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.tx
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.allx
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.y
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.ty
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.ally
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.graph
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.test.index
Processing...
Done!
Model modules:
 VNGNN(
  (convs): ModuleList(
    (0): GCNConv(500, 16)
    (1): GCNConv(16, 3)
  )
  (bns): ModuleList(
    (0): BatchNorm1d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
)
Parameters:
+--------------------+------------+
|      Modules       | Parameters |
+--------------------+------------+
|    convs.0.bias    |     16     |
| convs.0.lin.weight |    8000    |
|    convs.1.bias    |     3      |
| convs.1.lin.weight |     48     |
|    bns.0.weight    |     16     |
|     bns.0.bias     |     16     |
+--------------------+------------+
Total Trainable Params: 8099

Start Training...
Run: 01, Epoch: 106, Train Loss: 0.0901, Valid Loss:  0.5537, Test Loss:  0.5837,  Train Acc: 100.00%, Valid Acc: 78.00%, Test Acc: 77.80%
Run: 01, Epoch: 107, Train Loss: 0.0893, Valid Loss:  0.5533, Test Loss:  0.5833,  Train Acc: 100.00%, Valid Acc: 78.20%, Test Acc: 77.50%
Run: 01, Epoch: 108, Train Loss: 0.0885, Valid Loss:  0.5536, Test Loss:  0.5838,  Train Acc: 100.00%, Valid Acc: 78.00%, Test Acc: 77.50%
Run: 01, Epoch: 109, Train Loss: 0.0878, Valid Loss:  0.5544, Test Loss:  0.5847,  Train Acc: 100.00%, Valid Acc: 78.00%, Test Acc: 77.30%
Run: 01, Epoch: 110, Train Loss: 0.0871, Valid Loss:  0.5538, Test Loss:  0.5843,  Train Acc: 100.00%, Valid Acc: 78.40%, Test Acc: 77.50%
Run: 01, Epoch: 111, Train Loss: 0.0866, Valid Loss:  0.5529, Test Loss:  0.5834,  Train Acc: 100.00%, Valid Acc: 78.40%, Test Acc: 77.50%
Run: 01, Epoch: 112, Train Loss: 0.0860, Valid Loss:  0.5525, Test Loss:  0.5831,  Train Acc: 100.00%, Valid Acc: 78.40%, Test Acc: 77.50%
Run: 01, Epoch: 113, Train Loss: 0.0854, Valid Loss:  0.5527, Test Loss:  0.5831,  Train Acc: 100.00%, Valid Acc: 78.40%, Test Acc: 77.50%
Run: 01, Epoch: 114, Train Loss: 0.0848, Valid Loss:  0.5522, Test Loss:  0.5825,  Train Acc: 100.00%, Valid Acc: 78.20%, Test Acc: 77.50%
Run: 01, Epoch: 115, Train Loss: 0.0845, Valid Loss:  0.5514, Test Loss:  0.5811,  Train Acc: 100.00%, Valid Acc: 78.00%, Test Acc: 77.80%
Run: 01, Epoch: 116, Train Loss: 0.0844, Valid Loss:  0.5516, Test Loss:  0.5809,  Train Acc: 100.00%, Valid Acc: 77.80%, Test Acc: 78.20%
Run: 01, Epoch: 117, Train Loss: 0.0839, Valid Loss:  0.5514, Test Loss:  0.5803,  Train Acc: 100.00%, Valid Acc: 77.80%, Test Acc: 78.00%
Run: 01, Epoch: 118, Train Loss: 0.0835, Valid Loss:  0.5500, Test Loss:  0.5786,  Train Acc: 100.00%, Valid Acc: 77.60%, Test Acc: 77.90%
Run: 01, Epoch: 119, Train Loss: 0.0831, Valid Loss:  0.5497, Test Loss:  0.5780,  Train Acc: 100.00%, Valid Acc: 77.60%, Test Acc: 78.00%
Run: 01, Epoch: 120, Train Loss: 0.0826, Valid Loss:  0.5506, Test Loss:  0.5789,  Train Acc: 100.00%, Valid Acc: 78.20%, Test Acc: 77.60%
